TRGID,UPC,Title,ProgramName,MasterProgramName,CategoryName,Manufacturer,LocationNotListable,ProductStatus,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Classification_PHYSICAL CONDITION,Classification_CONDITION,Classification_TECHNICAL FUNCTIONALITY,PalletLocationID,RTVType,Tag_NotListedReason,Tag_VenueExclusivity,Serialized,FirstStoredOnListableLocationOn
TRG00125,00100000125,Item 125 Headphones,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Sony,FALSE,Active,$254.30,$108.71,Fair,A,Functional,PAL-16,Non RTV,,,Y,2026-08-15
TRG00126,00100000126,Item 126 Tablets,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Tablets,Dell,FALSE,Active,$148.94,$62.41,Good,A,Functional,,,,,N,2026-09-08
TRG00127,00100000127,Item 127 Tablets,DALLX-HEADPHONES,Walmart Monitors (Finished),Tablets,HP,FALSE,Active,$120.93,$73.70,Good,C,Functional,PAL-27,RTV Liquidate,,,N,2026-08-13
TRG00128,00100000128,Item 128 Accessories,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Lenovo,FALSE,Active,$46.76,$184.78,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-31
TRG00129,00100000129,Item 129 Headphones,BRTON-WM-BAR,Warehouse Direct,Headphones,Sony,FALSE,Active,$69.69,$195.27,Good,C,Functional,PAL-7,,,,Y,2026-08-24
TRG00130,00100000130,Item 130 Headphones,MIAFL-HEAD-OFFICE,Warehouse Direct,Headphones,Sony,FALSE,Active,$140.35,$50.47,Fair,A,Functional,,Non RTV,,,N,2026-08-30
TRG00131,00100000131,Item 131 Computers,BRTON-WM-FOO,Warehouse Direct,Computers,Sony,FALSE,Active,$182.46,$253.90,Fair,A,Functional,PAL-22,Non RTV,,,N,2026-09-14
TRG00132,00100000132,Item 132 TVs,PHXAZ-RETURNS,Walmart Computer Parts (Finished),TVs,Samsung,FALSE,Active,$177.99,$64.60,Fair,A,Functional,,Non RTV,,,Y,2026-08-10
TRG00133,00100000133,Item 133 Headphones,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,FALSE,Active,$81.70,$240.94,Very Good,C,Functional,,,,,N,2026-09-07
TRG00134,00100000134,Item 134 Accessories,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Samsung,FALSE,Active,$41.18,$52.04,Good,C,Functional,,RTV Liquidate,,,N,2026-08-07
TRG00135,00100000135,Item 135 Tablets,DALLX-HEADPHONES,Walmart Computers Parts (Finished),Tablets,Dell,TRUE,Active,$144.94,$35.18,Very Good,A,Functional,,RTV Liquidate,,,N,2026-08-31
TRG00136,00100000136,Item 136 Accessories,PHXAZ-RETURNS,Specialty,Accessories,Samsung,FALSE,Active,$54.45,$251.13,Good,C,Functional,,Return to Stock,,,N,2026-08-18
TRG00136,00100000136,Item 136 duplicate last,PHXAZ-RETURNS,Specialty,Accessories,Dell,FALSE,Active,$54.45,$251.13,Good,C,Functional,,Return to Stock,,,N,2026-08-18
TRG00137,00100000137,Item 137 Monitors,MILON-WM-DOTCA-RTV,Warehouse Direct,Monitors,Lenovo,FALSE,Active,$77.44,$142.70,Good,C,Functional,,,,,Y,2026-08-18
TRG00138,00100000138,Item 138 Computers,BRTON-WM-BAR,Open Box Returns,Computers,Dell,FALSE,Active,$255.82,$120.48,Good,A,Functional,,Non RTV,,,N,2026-09-15
TRG00139,00100000139,Item 139 Monitors,BRTON-WM-FOO,Warehouse Direct,Monitors,Dell,FALSE,Active,$232.51,$196.78,Very Good,B,Functional,,,,,N,2026-09-01
TRG00140,00100000140,Item 140 Accessories,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Accessories,Sony,FALSE,Active,$226.00,$45.81,Fair,B,Functional,,RTV Liquidate,,,N,2026-08-16
TRG00141,00100000141,Item 141 TVs,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,FALSE,Active,$190.04,$194.67,Very Good,A,Functional,PAL-79,Return to Stock,,,Y,2026-09-12
TRG00142,00100000142,Item 142 Computers,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Computers,Dell,FALSE,Active,$73.21,$55.35,Good,A,Functional,,,,,Y,2026-08-31
TRG00143,00100000143,Item 143 Tablets,BRTON-WM-BAR,Walmart Computers Parts (Finished),Tablets,HP,TRUE,Active,$59.87,$35.90,Very Good,C,Functional,,RTV Liquidate,,,N,2026-08-28
TRG00144,00100000144,Item 144 Computers,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Computers,Samsung,FALSE,Active,$171.53,$158.65,Damaged,A,Functional,PAL-79,Research,,,Y,2026-09-07
TRG00145,00100000145,Item 145 Tablets,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Tablets,HP,FALSE,Active,$78.50,$225.94,Good,A,Functional,,,,,Y,2026-08-29
TRG00146,00100000146,Item 146 Monitors,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Samsung,FALSE,Active,$229.93,$138.90,Damaged,C,Functional,,Non RTV,,,N,2026-09-05
TRG00147,00100000147,Item 147 TVs,BRTON-WM-BAR,Walmart Monitors (Finished),TVs,Lenovo,FALSE,Active,$172.01,$262.14,Good,C,Functional,,,,,N,2026-09-03
TRG00148,00100000148,Item 148 Headphones,BRTON-LENOVO-DC-400,Open Box Returns,Headphones,Dell,FALSE,Active,$126.60,$261.14,Damaged,C,Functional,,RTV Liquidate,,,N,2026-09-11
TRG00149,00100000149,Item 149 Tablets,BRTON-WM-BAR,Open Box Returns,Tablets,Sony,FALSE,Active,$120.20,$200.72,Damaged,B,Functional,,,,,N,2026-09-13
TRG00150,00100000150,Item 150 Tablets,BRTON-WM-BAR,Specialty,Tablets,Lenovo,FALSE,Active,$125.61,$197.45,Good,B,Functional,PAL-25,,,,N,2026-09-06
TRG00151,00100000151,Item 151 Tablets,BRTON-WM-FOO,Walmart Computer Parts (Finished),Tablets,Lenovo,FALSE,Active,$47.60,$192.10,Damaged,C,Functional,,,,,N,2026-09-03
TRG00152,00100000152,Item 152 Tablets,BRTON-WM-FOO,Walmart Monitors (Finished),Tablets,Samsung,FALSE,Active,$96.87,$198.13,Good,C,Functional,PAL-66,,,,N,2026-08-09
TRG00153,00100000153,Item 153 Tablets,BRTON-WM-FOO,Open Box Returns,Tablets,Lenovo,FALSE,Active,$112.00,$73.24,Fair,A,Functional,,Non RTV,,,N,2026-09-09
TRG00153,00100000153,Item 153 duplicate last,BRTON-WM-FOO,Open Box Returns,Tablets,Dell,FALSE,Active,$112.00,$73.24,Fair,A,Functional,,Non RTV,,,N,2026-09-09
TRG00154,00100000154,Item 154 Computers,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Computers,Dell,FALSE,Active,$58.55,$257.13,Fair,A,Functional,PAL-6,RTV Liquidate,,,N,2026-09-11
TRG00155,00100000155,Item 155 Monitors,MIAFL-HEAD-OFFICE,Specialty,Monitors,Sony,FALSE,Active,$224.19,$118.91,Very Good,C,Functional,,,,,N,2026-09-03
TRG00156,00100000156,Item 156 Computers,WFS-OVERFLOW,Warehouse Direct,Computers,HP,TRUE,Active,$172.74,$65.73,Fair,B,Functional,,Non RTV,,,N,2026-09-14
TRG00157,00100000157,Item 157 Accessories,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Lenovo,FALSE,Active,$150.84,$210.10,Good,C,Functional,,RTV Liquidate,,,N,2026-09-02
TRG00158,00100000158,Item 158 Computers,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Computers,Dell,FALSE,Active,$57.18,$264.85,Fair,A,Functional,,,,,N,2026-08-28
TRG00159,00100000159,Item 159 Computers,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Computers,Samsung,FALSE,Active,$133.89,$102.46,Fair,A,Functional,,,,,Y,2026-08-23
TRG00160,00100000160,Item 160 TVs,BRTON-WM-FOO,Walmart Computers Parts (Finished),TVs,Lenovo,FALSE,Active,$123.18,$98.69,Damaged,A,Functional,,Non RTV,,,Y,2026-08-18
TRG00161,00100000161,Item 161 TVs,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),TVs,Sony,FALSE,Active,$234.47,$44.62,Damaged,C,Functional,,,,,N,2026-08-15
TRG00162,00100000162,Item 162 Headphones,WFS-OVERFLOW,Warehouse Direct,Headphones,HP,FALSE,Active,$155.68,$45.17,Damaged,C,Functional,,RTV Liquidate,,,N,2026-08-18
TRG00163,00100000163,Item 163 Headphones,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),Headphones,Lenovo,FALSE,Active,$217.51,$50.41,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-07
TRG00164,00100000164,Item 164 TVs,DS-MONTERREY,Walmart Computers Parts (Finished),TVs,Samsung,FALSE,Active,$125.51,$144.78,Good,C,Functional,,Non RTV,,,N,2026-08-09
TRG00165,00100000165,Item 165 Headphones,BRTON-WM-FOO,Specialty,Headphones,Lenovo,FALSE,Active,$163.38,$58.42,Very Good,B,Functional,PAL-41,RTV Liquidate,,,Y,2026-09-05
TRG00166,00100000166,Item 166 Computers,DALLX-HEADPHONES,Specialty,Computers,Sony,FALSE,Active,$252.32,$60.94,Very Good,A,Functional,,Non RTV,,,N,2026-08-15
TRG00167,00100000167,Item 167 Monitors,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Samsung,FALSE,Active,$259.35,$241.02,Very Good,B,Functional,,RTV Liquidate,,,Y,2026-08-11
TRG00168,00100000168,Item 168 Tablets,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Samsung,FALSE,Active,$171.39,$69.39,Very Good,A,Functional,,RTV Liquidate,,,N,2026-08-21
TRG00169,00100000169,Item 169 Headphones,BRTON-WM-BAR,Warehouse Direct,Headphones,HP,FALSE,Active,$120.97,$207.02,Damaged,A,Functional,PAL-56,Non RTV,,,Y,2026-08-08
TRG00170,00100000170,Item 170 Headphones,PHXAZ-RETURNS,Open Box Returns,Headphones,Lenovo,FALSE,Active,$196.63,$100.84,Fair,C,Functional,,RTV Liquidate,,,N,2026-09-07
TRG00170,00100000170,Item 170 duplicate last,PHXAZ-RETURNS,Open Box Returns,Headphones,Dell,FALSE,Active,$196.63,$100.84,Fair,C,Functional,,RTV Liquidate,,,N,2026-09-07
TRG00171,00100000171,Item 171 Accessories,BRTON-WM-BAR,Walmart Computers Parts (Finished),Accessories,Sony,FALSE,Active,$98.10,$127.41,Very Good,A,Functional,,RTV Approved,,,N,2026-08-13
TRG00172,00100000172,Item 172 Monitors,DALLX-HEADPHONES,Specialty,Monitors,Samsung,FALSE,Active,$222.21,$152.39,Damaged,C,Functional,,Non RTV,,,Y,2026-08-16
TRG00173,00100000173,Item 173 Headphones,BRTON-WM-BAR,Specialty,Headphones,Lenovo,FALSE,Active,$232.27,$128.90,Fair,A,Functional,,,,,Y,2026-08-22
TRG00174,00100000174,Item 174 Tablets,BRTON-WM-FOO,Walmart Monitors (Finished),Tablets,HP,FALSE,Active,$147.50,$265.44,Very Good,A,Functional,,Non RTV,,,N,2026-08-08
TRG00175,00100000175,Item 175 Monitors,MILON-WM-DOTCA-RTV,Open Box Returns,Monitors,HP,FALSE,Active,$232.81,$202.75,Very Good,B,Functional,PAL-9,Non RTV,,,Y,2026-08-06
TRG00176,00100000176,Item 176 Headphones,BRTON-WM-BAR,Open Box Returns,Headphones,Dell,FALSE,Active,$183.25,$67.83,Damaged,C,Functional,,RTV,,,Y,2026-09-08
TRG00177,00100000177,Item 177 Accessories,WFS-OVERFLOW,Open Box Returns,Accessories,Dell,FALSE,Active,$132.88,$51.08,Good,C,Functional,,Non RTV,,,N,2026-08-25
TRG00178,00100000178,Item 178 Accessories,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Accessories,Sony,FALSE,Active,$217.30,$63.72,Fair,A,Functional,,RTV Liquidate,,,N,2026-08-12
TRG00179,00100000179,Item 179 Accessories,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),Accessories,Dell,FALSE,Active,$258.63,$213.96,Very Good,A,Functional,,Non RTV,,,Y,2026-08-15
TRG00180,00100000180,Item 180 Computers,BRTON-WM-FOO,Warehouse Direct,Computers,Samsung,FALSE,Active,$156.99,$57.56,Fair,C,Functional,,RTV Liquidate,,,N,2026-09-01
TRG00181,00100000181,Item 181 Monitors,WFS-OVERFLOW,Walmart Computer Parts (Finished),Monitors,Sony,FALSE,Active,$76.48,$236.06,Damaged,A,Functional,,,,,Y,2026-08-16
TRG00182,00100000182,Item 182 Tablets,BRTON-WM-FOO,Walmart Computer Parts (Finished),Tablets,Sony,FALSE,Active,$185.93,$217.05,Good,A,Functional,PAL-80,,,,N,2026-08-14
TRG00183,00100000183,Item 183 Headphones,MILON-WM-DOTCA-RTV,Warehouse Direct,Headphones,Sony,FALSE,Active,$154.56,$218.66,Good,A,Functional,,RTV Liquidate,,,N,2026-09-15
TRG00184,00100000184,Item 184 Tablets,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Tablets,Sony,FALSE,Active,$87.62,$108.67,Fair,B,Functional,PAL-17,Return to Stock,,,N,2026-08-26
TRG00185,00100000185,Item 185 Accessories,BRTON-LENOVO-DC-400,Specialty,Accessories,Sony,FALSE,Active,$194.71,$182.87,Damaged,A,Functional,,,,,N,2026-08-10
TRG00186,00100000186,Item 186 Tablets,PHXAZ-RETURNS,Walmart Monitors (Finished),Tablets,Lenovo,FALSE,Active,$151.55,$121.67,Fair,A,Functional,,RTV Liquidate,,,N,2026-09-09
TRG00187,00100000187,Item 187 Monitors,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,Sony,TRUE,Active,$189.23,$109.01,Very Good,A,Functional,,Non RTV,,,N,2026-09-13
TRG00187,00100000187,Item 187 duplicate last,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,Dell,TRUE,Active,$189.23,$109.01,Very Good,A,Functional,,Non RTV,,,N,2026-09-13
TRG00188,00100000188,Item 188 TVs,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),TVs,HP,FALSE,Active,$255.35,$267.80,Fair,C,Functional,,Non RTV,,,N,2026-08-24
TRG00189,00100000189,Item 189 Computers,WFS-OVERFLOW,Open Box Returns,Computers,HP,FALSE,Active,$111.77,$97.25,Good,A,Functional,,,,,N,2026-09-05
TRG00190,00100000190,Item 190 Tablets,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Tablets,HP,FALSE,Active,$218.80,$32.42,Very Good,A,Functional,PAL-36,,,,N,2026-09-10
TRG00191,00100000191,Item 191 TVs,BRTON-WM-BAR,Open Box Returns,TVs,Dell,FALSE,Active,$140.98,$142.83,Fair,C,Functional,,RTV Liquidate,,,Y,2026-09-08
TRG00192,00100000192,Item 192 Tablets,BRTON-WM-FOO,Walmart Monitors (Finished),Tablets,Samsung,FALSE,Active,$173.84,$50.46,Very Good,A,Functional,,Non RTV,,,N,2026-08-18
TRG00193,00100000193,Item 193 TVs,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),TVs,Lenovo,FALSE,Active,$215.06,$207.01,Fair,A,Functional,,RTV Liquidate,,,N,2026-09-02
TRG00194,00100000194,Item 194 Tablets,PHXAZ-RETURNS,Open Box Returns,Tablets,Samsung,FALSE,Active,$125.71,$93.18,Fair,B,Functional,,,,,N,2026-09-08
TRG00195,00100000195,Item 195 Headphones,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Dell,FALSE,Active,$72.52,$258.89,Very Good,C,Functional,,Non RTV,,,N,2026-08-27
TRG00196,00100000196,Item 196 Tablets,DALLX-HEADPHONES,Open Box Returns,Tablets,Samsung,FALSE,Active,$95.18,$171.30,Very Good,B,Functional,,,,,N,2026-08-19
TRG00197,00100000197,Item 197 TVs,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),TVs,HP,FALSE,Active,$178.22,$155.92,Very Good,C,Functional,,Non RTV,,,N,2026-09-03
TRG00198,00100000198,Item 198 Headphones,BRTON-WM-BAR,Specialty,Headphones,Dell,FALSE,Active,$207.78,$75.63,Damaged,A,Functional,,Non RTV,,,N,2026-08-18
TRG00199,00100000199,Item 199 Headphones,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,FALSE,Active,$253.13,$64.82,Damaged,C,Functional,PAL-4,RTV Liquidate,,,N,2026-08-29
TRG00200,00100000200,Item 200 Headphones,MIAFL-HEAD-OFFICE,Open Box Returns,Headphones,Lenovo,FALSE,Active,$259.77,$198.42,Very Good,B,Functional,PAL-47,,,,N,2026-08-08
TRG00201,00100000201,Item 201 Accessories,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Sony,FALSE,Active,$55.88,$213.24,Fair,C,Functional,,,,,N,2026-08-17
TRG00202,00100000202,Item 202 Computers,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Computers,Samsung,FALSE,Active,$88.99,$82.00,Fair,C,Functional,,,,,N,2026-09-01
TRG00203,00100000203,Item 203 Computers,MIAFL-HEAD-OFFICE,Warehouse Direct,Computers,Sony,FALSE,Active,$159.74,$105.14,Very Good,A,Functional,,,,,N,2026-08-22
TRG00204,00100000204,Item 204 Headphones,BRTON-WM-FOO,Open Box Returns,Headphones,Samsung,FALSE,Active,$99.35,$227.69,Damaged,C,Functional,,Non RTV,,,N,2026-08-29
TRG00204,00100000204,Item 204 duplicate last,BRTON-WM-FOO,Open Box Returns,Headphones,Dell,FALSE,Active,$99.35,$227.69,Damaged,C,Functional,,Non RTV,,,N,2026-08-29
TRG00205,00100000205,Item 205 Accessories,DS-MONTERREY,Open Box Returns,Accessories,HP,FALSE,Active,$132.81,$157.10,Very Good,B,Functional,,,,,N,2026-08-28
TRG00206,00100000206,Item 206 TVs,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,FALSE,Active,$257.03,$203.24,Very Good,A,Functional,PAL-72,RTV Liquidate,,,Y,2026-09-13
TRG00207,00100000207,Item 207 Tablets,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Lenovo,TRUE,Active,$245.33,$184.34,Fair,A,Functional,PAL-39,,,,Y,2026-08-26
TRG00208,00100000208,Item 208 Computers,PHXAZ-RETURNS,Walmart Computer Parts (Finished),Computers,Lenovo,FALSE,Active,$86.06,$223.91,Good,B,Functional,,RTV Liquidate,,,Y,2026-09-10
TRG00209,00100000209,Item 209 Monitors,WFS-OVERFLOW,Open Box Returns,Monitors,HP,FALSE,Active,$181.10,$93.56,Good,C,Functional,,,,,N,2026-09-07
TRG00210,00100000210,Item 210 TVs,DALLX-HEADPHONES,Open Box Returns,TVs,Dell,FALSE,Active,$85.61,$102.91,Good,A,Functional,PAL-34,,,,Y,2026-08-11
TRG00211,00100000211,Item 211 Monitors,MIAFL-HEAD-OFFICE,Open Box Returns,Monitors,Samsung,FALSE,Active,$158.85,$91.35,Very Good,B,Functional,,Non RTV,,,N,2026-08-10
TRG00212,00100000212,Item 212 TVs,BRTON-WM-FOO,Walmart Monitors (Finished),TVs,Samsung,TRUE,Active,$215.49,$140.44,Damaged,A,Functional,,Non RTV,,,N,2026-08-09
TRG00213,00100000213,Item 213 Monitors,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),Monitors,HP,FALSE,Active,$173.82,$119.68,Fair,A,Functional,PAL-21,RTV Liquidate,,,N,2026-08-31
TRG00214,00100000214,Item 214 Headphones,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Headphones,Dell,FALSE,Active,$198.57,$225.00,Good,C,Functional,,Non RTV,,,Y,2026-08-14
TRG00215,00100000215,Item 215 Headphones,MILON-WM-DOTCA-RTV,Warehouse Direct,Headphones,HP,FALSE,Active,$78.63,$123.90,Damaged,C,Functional,,RTV,,,Y,2026-08-28
TRG00216,00100000216,Item 216 Computers,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Sony,FALSE,Active,$226.20,$177.17,Damaged,B,Functional,,Return to Stock,,,N,2026-09-13
TRG00217,00100000217,Item 217 Headphones,BRTON-WM-FOO,Open Box Returns,Headphones,Dell,FALSE,Active,$168.77,$83.42,Damaged,B,Functional,PAL-50,Non RTV,,,N,2026-08-28
TRG00218,00100000218,Item 218 Monitors,MIAFL-HEAD-OFFICE,Specialty,Monitors,Sony,FALSE,Active,$55.92,$144.84,Fair,C,Functional,PAL-44,RTV Liquidate,,,N,2026-09-08
TRG00219,00100000219,Item 219 Headphones,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Headphones,Dell,FALSE,Active,$242.61,$108.91,Fair,C,Functional,PAL-78,,,,N,2026-08-30
TRG00220,00100000220,Item 220 Computers,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Lenovo,FALSE,Active,$157.07,$184.54,Very Good,B,Functional,,RTV Approved,,,Y,2026-09-02
TRG00221,00100000221,Item 221 Headphones,WFS-OVERFLOW,Walmart Monitors (Finished),Headphones,Lenovo,FALSE,Active,$160.22,$167.87,Fair,A,Functional,,,,,Y,2026-08-28
TRG00221,00100000221,Item 221 duplicate last,WFS-OVERFLOW,Walmart Monitors (Finished),Headphones,Dell,FALSE,Active,$160.22,$167.87,Fair,A,Functional,,,,,N,2026-08-28
TRG00222,00100000222,Item 222 Headphones,BRTON-LENOVO-DC-400,Walmart Computers Parts (Finished),Headphones,HP,FALSE,Active,$101.78,$181.16,Very Good,C,Functional,,,,,N,2026-08-22
TRG00223,00100000223,Item 223 Tablets,BRTON-WM-BAR,Walmart Monitors (Finished),Tablets,HP,FALSE,Active,$45.00,$150.40,Good,A,Functional,,,,,N,2026-08-29
TRG00224,00100000224,Item 224 Tablets,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,HP,FALSE,Active,$45.93,$246.42,Damaged,C,Functional,,Research,,,N,2026-08-25
TRG00225,00100000225,Item 225 TVs,MILON-WM-DOTCA-RTV,Specialty,TVs,Dell,FALSE,Active,$132.04,$201.48,Very Good,C,Functional,,RTV Liquidate,,,N,2026-08-08
TRG00226,00100000226,Item 226 TVs,BRTON-WM-BAR,Open Box Returns,TVs,HP,FALSE,Active,$94.27,$232.68,Damaged,C,Functional,PAL-62,RTV Liquidate,,,N,2026-08-30
TRG00227,00100000227,Item 227 Computers,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Computers,Samsung,FALSE,Active,$249.22,$105.68,Very Good,B,Functional,,RTV Liquidate,,,N,2026-09-07
TRG00228,00100000228,Item 228 Headphones,BRTON-WM-FOO,Specialty,Headphones,Dell,FALSE,Active,$228.25,$125.41,Very Good,A,Functional,,Return to Stock,,,N,2026-09-13
TRG00229,00100000229,Item 229 TVs,WFS-OVERFLOW,Walmart Computer Parts (Finished),TVs,Sony,FALSE,Active,$188.04,$102.02,Good,B,Functional,,RTV Liquidate,,,N,2026-08-21
TRG00230,00100000230,Item 230 Accessories,BRTON-WM-BAR,Walmart Monitors (Finished),Accessories,Lenovo,FALSE,Active,$171.23,$152.78,Damaged,B,Functional,PAL-4,,,,N,2026-09-01
TRG00231,00100000231,Item 231 Computers,PHXAZ-RETURNS,Open Box Returns,Computers,HP,FALSE,Active,$77.63,$195.46,Good,B,Functional,,,,,N,2026-08-25
TRG00232,00100000232,Item 232 Computers,MILON-WM-DOTCA-RTV,Specialty,Computers,HP,FALSE,Active,$156.08,$248.99,Fair,A,Functional,,RTV Liquidate,,,N,2026-09-14
TRG00233,00100000233,Item 233 Computers,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,Sony,FALSE,Active,$115.23,$197.70,Damaged,C,Functional,,RTV,,,N,2026-08-14
TRG00234,00100000234,Item 234 Computers,BRTON-WM-BAR,Walmart Computers Parts (Finished),Computers,Samsung,FALSE,Active,$205.37,$248.64,Very Good,B,Functional,,Non RTV,,,N,2026-08-06
TRG00235,00100000235,Item 235 Headphones,PHXAZ-RETURNS,Warehouse Direct,Headphones,Sony,FALSE,Active,$59.78,$165.92,Good,A,Functional,PAL-27,Non RTV,,,N,2026-08-07
TRG00236,00100000236,Item 236 Headphones,MILON-WM-DOTCA-RTV,Open Box Returns,Headphones,Lenovo,FALSE,Active,$167.93,$146.53,Damaged,A,Functional,,,,,N,2026-08-29
TRG00237,00100000237,Item 237 Computers,MIAFL-HEAD-OFFICE,Warehouse Direct,Computers,Sony,TRUE,Active,$164.13,$238.23,Good,B,Functional,,,,,N,2026-08-06
TRG00238,00100000238,Item 238 Headphones,BRTON-WM-BAR,Walmart Computers Parts (Finished),Headphones,Dell,FALSE,Active,$202.50,$241.74,Very Good,A,Functional,,,,,Y,2026-09-04
TRG00238,00100000238,Item 238 duplicate last,BRTON-WM-BAR,Walmart Computers Parts (Finished),Headphones,Dell,FALSE,Active,$202.50,$241.74,Very Good,A,Functional,,,,,N,2026-09-04
TRG00239,00100000239,Item 239 TVs,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,FALSE,Active,$236.51,$193.54,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-25
TRG00240,00100000240,Item 240 Tablets,PHXAZ-RETURNS,Warehouse Direct,Tablets,Lenovo,FALSE,Active,$212.94,$122.02,Good,B,Functional,,Non RTV,,,Y,2026-08-10
TRG00241,00100000241,Item 241 Headphones,PHXAZ-RETURNS,Specialty,Headphones,HP,FALSE,Active,$178.73,$118.01,Damaged,A,Functional,,RTV Liquidate,,,Y,2026-09-12
TRG00242,00100000242,Item 242 Accessories,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Accessories,HP,FALSE,Active,$142.27,$69.19,Damaged,A,Functional,PAL-26,Non RTV,,,Y,2026-08-28
TRG00243,00100000243,Item 243 TVs,BRTON-WM-FOO,Open Box Returns,TVs,Sony,FALSE,Active,$112.06,$231.63,Very Good,C,Functional,PAL-51,,,,N,2026-08-17
TRG00244,00100000244,Item 244 TVs,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),TVs,HP,FALSE,Active,$85.96,$166.67,Fair,C,Functional,,RTV Liquidate,,,N,2026-09-10
TRG00245,00100000245,Item 245 Monitors,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Monitors,Dell,FALSE,Active,$209.67,$116.75,Very Good,A,Functional,,RTV,,,N,2026-08-29
TRG00246,00100000246,Item 246 Tablets,DS-MONTERREY,Walmart Finished Goods Wide Sku (Finished),Tablets,Sony,FALSE,Active,$105.38,$143.35,Damaged,B,Functional,,Non RTV,,,N,2026-08-12
TRG00247,00100000247,Item 247 Monitors,MIAFL-HEAD-OFFICE,Specialty,Monitors,Sony,FALSE,Active,$217.17,$221.89,Good,B,Functional,,Non RTV,,,N,2026-08-17
TRG00248,00100000248,Item 248 Accessories,MILON-WM-DOTCA-RTV,Warehouse Direct,Accessories,HP,FALSE,Active,$258.97,$43.83,Very Good,A,Functional,,Non RTV,,,N,2026-09-12
TRG00249,00100000249,Item 249 Headphones,BRTON-WM-BAR,Open Box Returns,Headphones,Sony,FALSE,Active,$235.78,$106.82,Good,C,Functional,,Return to Stock,,,N,2026-08-08
TRG00250,00100000250,Item 250 TVs,DALLX-HEADPHONES,Specialty,TVs,Samsung,FALSE,Active,$75.28,$121.75,Very Good,B,Functional,,,,,N,2026-08-31
